encoder__Employment_Type_Self employed,encoder__Region_ID_R2,encoder__Region_ID_R3,encoder__Region_ID_R4,encoder__Region_ID_nan,remainder__Loan_Id,remainder__Disbursed_Amount,remainder__Asset_Cost,remainder__ltv,remainder__Branch_Id,remainder__City_Code,remainder__State_Code,remainder__Postal_Code,remainder__Date_of_Birth,remainder__DisbursalDate,remainder__MobileNo_Avl_Flag,remainder__Aadhar_flag,remainder__PAN_flag,remainder__VoterID_flag,remainder__Driving_flag,remainder__Passport_flag,remainder__PERFORM_CNS.SCORE,remainder__DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,remainder__CREDIT.HISTORY.LENGTH,remainder__NO.OF_INQUIRIES,remainder__State_Name,remainder__Loan_Default,Age
1.0,0.0,0.0,1.0,0.0,1,36439,65850,56.19,64,CT01,ST15,400001,14-06-1990,28-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Maharashtra,0,28
0.0,1.0,0.0,0.0,0.0,2,48749,69303,72.15,67,CT03,ST24,600020,01-01-1991,10-09-2018,1,1,0,0,0,0,783,0,2yrs 6mon,0,Tamil Nadu,0,27
1.0,0.0,1.0,0.0,0.0,3,55348,66340,85.0,2,CT13,ST04,801110,16-08-1993,31-08-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Bihar,1,25
1.0,0.0,0.0,0.0,0.0,4,48849,64133,77.96,217,CT06,ST22,302029,01-01-1989,13-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Rajasthan,0,29
1.0,1.0,0.0,0.0,0.0,5,40394,59386,70.72,74,CT03,ST24,600020,31-12-1974,14-09-2018,1,1,0,0,0,0,14,1,3yrs 1mon,1,Tamil Nadu,0,43
1.0,0.0,1.0,0.0,0.0,6,51803,67466,79.3,162,CT13,ST04,801110,23-11-1964,17-08-2018,1,1,0,0,0,0,300,0,15yrs 2mon,0,Bihar,0,53
1.0,0.0,1.0,0.0,0.0,7,61947,109094,58.21,251,CT27,ST11,832102,01-10-1989,16-08-2018,1,0,0,1,0,0,737,0,1yrs 10mon,0,Jharkhand,0,28
0.0,0.0,1.0,0.0,0.0,8,51301,61815,85.0,67,CT28,ST11,834008,01-01-1995,26-08-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Jharkhand,0,23
1.0,0.0,0.0,0.0,1.0,9,65882,80461,84.51,255,CT21,ST27,248141,15-06-1994,15-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Uttarakhand,0,24
1.0,0.0,0.0,1.0,0.0,10,34639,69717,50.49,34,CT01,ST15,400001,23-11-1982,26-10-2018,1,1,0,0,0,0,300,0,3yrs 10mon,0,Maharashtra,1,35
